age,job,marital,education,default,balance,housing,loan,campaign,pdays,deposit,Date
59,admin.,married,secondary,no,2343,yes,no,1,-1,yes,05-may
56,admin.,married,secondary,no,45,no,no,1,-1,yes,05-may
41,technician,married,secondary,no,1270,yes,no,1,-1,yes,05-may
55,services,married,secondary,no,2476,yes,no,1,-1,yes,05-may
54,admin.,married,tertiary,no,184,no,no,2,-1,yes,05-may
42,management,single,tertiary,no,0,yes,yes,2,-1,yes,05-may
56,management,married,tertiary,no,830,yes,yes,1,-1,yes,06-may
60,retired,divorced,secondary,no,545,yes,no,1,-1,yes,06-may
37,technician,married,secondary,no,1,yes,no,1,-1,yes,06-may
28,services,single,secondary,no,5090,yes,no,3,-1,yes,06-may
38,admin.,single,secondary,no,100,yes,no,1,-1,yes,07-may
30,blue-collar,married,secondary,no,309,yes,no,2,-1,yes,07-may
29,management,married,tertiary,no,199,yes,yes,4,-1,yes,07-may
46,blue-collar,single,tertiary,no,460,yes,no,2,-1,yes,07-may
31,technician,single,tertiary,no,703,yes,no,2,-1,yes,08-may
35,management,divorced,tertiary,no,3837,yes,no,1,-1,yes,08-may
32,blue-collar,single,primary,no,611,yes,no,3,-1,yes,08-may
49,services,married,secondary,no,-8,yes,no,1,-1,yes,08-may
41,admin.,married,secondary,no,55,yes,no,2,-1,yes,08-may
49,admin.,divorced,secondary,no,168,yes,yes,1,-1,yes,08-may
28,admin.,divorced,secondary,no,785,yes,no,2,-1,yes,08-may
43,management,single,tertiary,no,2067,yes,no,1,-1,yes,08-may
43,management,divorced,tertiary,no,388,yes,no,2,-1,yes,08-may
43,blue-collar,married,primary,no,-192,yes,no,2,-1,yes,08-may
37,unemployed,single,secondary,no,381,yes,no,2,-1,yes,08-may
35,blue-collar,single,secondary,no,40,yes,no,4,-1,yes,09-may
31,technician,single,tertiary,no,22,yes,no,3,-1,yes,09-may
43,blue-collar,single,secondary,no,3,yes,no,3,-1,yes,09-may
31,admin.,married,secondary,no,307,yes,no,1,-1,yes,09-may
28,blue-collar,single,secondary,no,759,yes,no,1,-1,yes,09-may
32,blue-collar,married,secondary,yes,-1,yes,no,1,-1,yes,09-may
60,technician,married,primary,no,65,yes,no,2,-1,yes,09-may
26,blue-collar,single,secondary,no,82,yes,no,1,-1,yes,09-may
40,blue-collar,married,secondary,no,10,yes,no,2,-1,yes,09-may
33,blue-collar,divorced,primary,no,390,yes,no,2,-1,yes,09-may
